complaint_id,area_id,state,district,latitude,longitude,technology,coverage_status,last_updated,issue_type,network_type,status,reported_date,call_duration,signal_strength,dropped_call
CMP-00176,AREA-0030,Selangor,Gombak,3.064955,101.524144,4G,Moderate,28/12/2025,Service Outage,4G,In Progress,18/12/2025,3312,3,0
CMP-00177,AREA-0014,Johor,Kulai,2.034609,102.006358,4G,Good,11/1/2026,Service Outage,Fiber,Resolved,20/12/2025,563,0,0
CMP-00178,AREA-0021,Pahang,Temerloh,3.336578,103.546819,4G,Good,29/12/2025,No Connectivity,Fiber,Resolved,23/10/2025,1020,5,0
CMP-00179,AREA-0039,Selangor,Petaling,3.020506,101.54408,5G,Moderate,3/1/2026,Poor Coverage,4G,Submitted,5/10/2025,95,0,0
CMP-00180,AREA-0003,Penang,George Town,5.374707,100.439022,Fiber,Good,4/1/2026,Call Drop,4G,In Progress,8/11/2025,1923,0,0
CMP-00181,AREA-0001,Penang,Seberang Perai,5.321694,100.278922,4G,Good,2/1/2026,Call Drop,5G,Resolved,14/12/2025,1757,0,0
CMP-00182,AREA-0001,Penang,Seberang Perai,5.248398,100.294622,4G,Good,2/1/2026,Service Outage,Fiber,In Progress,1/9/2025,2532,2,1
CMP-00183,AREA-0045,Perak,Taiping,4.783962,100.604244,Fiber,Moderate,11/1/2026,Slow Speed,Fiber,Submitted,14/9/2025,3478,5,0
CMP-00184,AREA-0022,Sabah,Sandakan,5.869389,115.938176,4G,Good,5/1/2026,Slow Speed,4G,Resolved,14/9/2025,2278,0,0
CMP-00185,AREA-0004,Johor,Johor Bahru,2.204432,102.729406,Fiber,Moderate,12/1/2026,Service Outage,5G,Submitted,1/11/2025,2796,3,0
CMP-00186,AREA-0045,Perak,Taiping,4.606965,100.805531,Fiber,Moderate,11/1/2026,No Connectivity,4G,Resolved,16/11/2025,1678,4,0
CMP-00187,AREA-0000,Kedah,Sungai Petani,5.159455,100.410237,4G,Moderate,17/12/2025,Slow Speed,4G,Resolved,23/12/2025,3242,0,0
CMP-00188,AREA-0045,Perak,Taiping,4.614385,101.412897,Fiber,Moderate,11/1/2026,Call Drop,Fiber,Resolved,27/10/2025,540,2,1
CMP-00189,AREA-0001,Penang,Seberang Perai,5.332454,100.445512,4G,Good,2/1/2026,Call Drop,5G,In Progress,30/9/2025,1059,5,0
CMP-00190,AREA-0001,Penang,Seberang Perai,5.298167,100.433155,4G,Good,2/1/2026,Poor Coverage,5G,In Progress,11/10/2025,2572,2,0
CMP-00191,AREA-0045,Perak,Taiping,4.907133,101.253612,Fiber,Moderate,11/1/2026,Service Outage,5G,In Progress,27/10/2025,1183,0,0
CMP-00192,AREA-0007,Sabah,Kota Kinabalu,5.2961,115.829637,4G,Good,17/12/2025,No Connectivity,5G,Resolved,30/12/2025,1722,5,0
CMP-00193,AREA-0014,Johor,Kulai,2.478215,102.282579,4G,Good,11/1/2026,Service Outage,4G,Resolved,2/12/2025,3314,4,0
CMP-00194,AREA-0022,Sabah,Sandakan,4.357214,116.102753,4G,Good,5/1/2026,Service Outage,5G,Resolved,25/9/2025,3157,0,0
CMP-00195,AREA-0005,Kedah,Alor Setar,5.720354,100.460581,5G,Poor,3/1/2026,Poor Coverage,Fiber,In Progress,29/11/2025,1819,2,0
CMP-00196,AREA-0002,Sarawak,Miri,4.297083,111.458278,5G,Moderate,31/12/2025,No Connectivity,4G,Resolved,22/11/2025,2625,1,0
CMP-00197,AREA-0003,Penang,George Town,5.372425,100.375702,Fiber,Good,4/1/2026,Call Drop,5G,Resolved,27/10/2025,2729,3,0
CMP-00198,AREA-0021,Pahang,Temerloh,3.193323,103.368741,4G,Good,29/12/2025,No Connectivity,4G,Submitted,27/10/2025,2604,2,0
CMP-00199,AREA-0045,Perak,Taiping,4.420639,100.628999,Fiber,Moderate,11/1/2026,Slow Speed,4G,In Progress,29/10/2025,1597,5,0
CMP-00200,AREA-0030,Selangor,Gombak,2.987277,101.882928,4G,Moderate,28/12/2025,Service Outage,4G,Resolved,19/11/2025,3060,0,0
CMP-00201,AREA-0013,Pahang,Kuantan,3.79701,103.598163,5G,Poor,22/12/2025,Slow Speed,4G,Submitted,17/10/2025,2693,3,0
CMP-00202,AREA-0003,Penang,George Town,5.275562,100.297067,Fiber,Good,4/1/2026,No Connectivity,4G,Resolved,5/9/2025,795,0,0
CMP-00203,AREA-0039,Selangor,Petaling,3.164715,101.434343,5G,Moderate,3/1/2026,Service Outage,5G,In Progress,10/11/2025,1051,5,0
CMP-00204,AREA-0090,Johor,Batu Pahat,1.403946,102.199303,5G,Poor,27/12/2025,Slow Speed,4G,In Progress,7/12/2025,1643,0,0
CMP-00205,AREA-0022,Sabah,Sandakan,5.755465,116.611918,4G,Good,5/1/2026,No Connectivity,4G,Submitted,30/11/2025,1363,1,1
CMP-00206,AREA-0013,Pahang,Kuantan,3.714603,102.957597,5G,Poor,22/12/2025,Service Outage,Fiber,Resolved,16/10/2025,1981,3,0
CMP-00207,AREA-0001,Penang,Seberang Perai,5.358693,100.477041,4G,Good,2/1/2026,Call Drop,Fiber,Submitted,12/9/2025,1354,3,0
CMP-00208,AREA-0022,Sabah,Sandakan,4.287168,115.711398,4G,Good,5/1/2026,Service Outage,5G,In Progress,12/12/2025,1663,5,0
CMP-00209,AREA-0023,Selangor,Hulu Langat,2.934488,101.407456,4G,Good,26/12/2025,No Connectivity,4G,In Progress,23/11/2025,1529,1,0
CMP-00210,AREA-0039,Selangor,Petaling,2.807921,101.674566,5G,Moderate,3/1/2026,No Connectivity,5G,Submitted,25/10/2025,2038,2,0
CMP-00211,AREA-0014,Johor,Kulai,1.642806,103.320791,4G,Good,11/1/2026,Slow Speed,5G,Submitted,25/11/2025,3419,0,0
CMP-00212,AREA-0039,Selangor,Petaling,2.982656,101.510096,5G,Moderate,3/1/2026,Poor Coverage,4G,In Progress,7/10/2025,1496,4,1
CMP-00213,AREA-0041,Perak,Ipoh,4.936002,100.969445,5G,Moderate,20/12/2025,No Connectivity,4G,In Progress,11/11/2025,3302,0,0
CMP-00214,AREA-0003,Penang,George Town,5.223741,100.346724,Fiber,Good,4/1/2026,Poor Coverage,4G,In Progress,13/12/2025,2237,0,0
CMP-00215,AREA-0002,Sarawak,Miri,2.01967,112.294927,5G,Moderate,31/12/2025,Poor Coverage,5G,In Progress,7/9/2025,3296,2,0
CMP-00216,AREA-0005,Kedah,Alor Setar,5.458885,100.310201,5G,Poor,3/1/2026,No Connectivity,4G,Resolved,16/10/2025,1408,0,1
CMP-00217,AREA-0039,Selangor,Petaling,2.881642,101.660093,5G,Moderate,3/1/2026,Call Drop,Fiber,Resolved,7/9/2025,1400,1,0
CMP-00218,AREA-0039,Selangor,Petaling,2.919412,101.867086,5G,Moderate,3/1/2026,Call Drop,4G,Resolved,1/12/2025,1306,1,1
CMP-00219,AREA-0014,Johor,Kulai,2.142658,103.174675,4G,Good,11/1/2026,Call Drop,Fiber,In Progress,23/9/2025,2680,3,0
CMP-00220,AREA-0003,Penang,George Town,5.354729,100.309074,Fiber,Good,4/1/2026,No Connectivity,4G,Resolved,29/9/2025,2675,5,1
CMP-00221,AREA-0013,Pahang,Kuantan,3.900605,103.942624,5G,Poor,22/12/2025,Service Outage,Fiber,In Progress,29/9/2025,972,4,0
CMP-00222,AREA-0014,Johor,Kulai,1.510006,102.260525,4G,Good,11/1/2026,No Connectivity,Fiber,In Progress,2/11/2025,1768,0,1
CMP-00223,AREA-0045,Perak,Taiping,4.767352,101.130663,Fiber,Moderate,11/1/2026,Service Outage,5G,Submitted,30/12/2025,1282,0,0
CMP-00224,AREA-0022,Sabah,Sandakan,5.932402,116.857635,4G,Good,5/1/2026,Slow Speed,5G,Submitted,3/11/2025,3430,2,1
CMP-00225,AREA-0014,Johor,Kulai,1.260121,103.368991,4G,Good,11/1/2026,No Connectivity,4G,Resolved,10/12/2025,709,5,0
CMP-00226,AREA-0000,Kedah,Sungai Petani,6.018508,100.408946,4G,Moderate,17/12/2025,Poor Coverage,4G,Submitted,20/9/2025,1479,1,0
CMP-00227,AREA-0021,Pahang,Temerloh,3.229308,103.20578,4G,Good,29/12/2025,Call Drop,4G,Submitted,12/11/2025,1434,4,0
CMP-00228,AREA-0030,Selangor,Gombak,3.241273,101.620879,4G,Moderate,28/12/2025,Slow Speed,5G,Resolved,29/12/2025,648,3,0
CMP-00229,AREA-0012,Sarawak,Kuching,2.53252,110.835559,4G,Good,5/1/2026,Poor Coverage,Fiber,Submitted,17/9/2025,317,1,0
CMP-00230,AREA-0090,Johor,Batu Pahat,1.518422,102.632113,5G,Poor,27/12/2025,Call Drop,4G,Resolved,8/10/2025,3296,5,0
CMP-00231,AREA-0045,Perak,Taiping,4.423796,101.28948,Fiber,Moderate,11/1/2026,Service Outage,Fiber,Submitted,7/11/2025,1257,3,0
CMP-00232,AREA-0030,Selangor,Gombak,3.160817,101.657053,4G,Moderate,28/12/2025,Call Drop,5G,Resolved,15/10/2025,683,2,0
CMP-00233,AREA-0000,Kedah,Sungai Petani,6.282518,100.300287,4G,Moderate,17/12/2025,Poor Coverage,5G,Submitted,8/9/2025,663,2,1
CMP-00234,AREA-0023,Selangor,Hulu Langat,3.018983,101.768087,4G,Good,26/12/2025,Call Drop,4G,Submitted,29/12/2025,1998,0,0
CMP-00235,AREA-0030,Selangor,Gombak,3.290272,101.486828,4G,Moderate,28/12/2025,No Connectivity,Fiber,In Progress,25/12/2025,3445,5,1
CMP-00236,AREA-0041,Perak,Ipoh,4.230635,100.512359,5G,Moderate,20/12/2025,Service Outage,Fiber,In Progress,14/12/2025,1631,4,0
CMP-00237,AREA-0000,Kedah,Sungai Petani,6.399153,100.412396,4G,Moderate,17/12/2025,No Connectivity,Fiber,Submitted,4/12/2025,1495,3,0
CMP-00238,AREA-0005,Kedah,Alor Setar,5.454293,100.425785,5G,Poor,3/1/2026,No Connectivity,4G,Submitted,11/9/2025,3304,1,0
CMP-00239,AREA-0005,Kedah,Alor Setar,6.415622,100.342431,5G,Poor,3/1/2026,Slow Speed,4G,Submitted,14/9/2025,1136,5,0
CMP-00240,AREA-0007,Sabah,Kota Kinabalu,4.069633,116.322263,4G,Good,17/12/2025,Poor Coverage,Fiber,Submitted,27/12/2025,1853,5,0
CMP-00241,AREA-0007,Sabah,Kota Kinabalu,4.02431,116.264624,4G,Good,17/12/2025,Service Outage,5G,Resolved,16/12/2025,1520,2,0
CMP-00242,AREA-0023,Selangor,Hulu Langat,3.098871,101.799156,4G,Good,26/12/2025,Service Outage,4G,Submitted,19/12/2025,2489,0,0
CMP-00243,AREA-0013,Pahang,Kuantan,3.838293,103.586894,5G,Poor,22/12/2025,Poor Coverage,4G,In Progress,9/9/2025,563,0,0
CMP-00244,AREA-0000,Kedah,Sungai Petani,5.787201,100.394408,4G,Moderate,17/12/2025,Call Drop,4G,Resolved,6/10/2025,1291,3,1
CMP-00245,AREA-0002,Sarawak,Miri,2.21693,111.998795,5G,Moderate,31/12/2025,Call Drop,4G,In Progress,27/9/2025,3581,2,1
CMP-00246,AREA-0039,Selangor,Petaling,3.077935,101.694521,5G,Moderate,3/1/2026,Call Drop,5G,Submitted,5/12/2025,3457,5,0
CMP-00247,AREA-0003,Penang,George Town,5.407619,100.369825,Fiber,Good,4/1/2026,Slow Speed,Fiber,In Progress,7/10/2025,3458,4,0
CMP-00248,AREA-0022,Sabah,Sandakan,4.180202,116.823491,4G,Good,5/1/2026,No Connectivity,4G,In Progress,27/9/2025,3184,2,0
CMP-00249,AREA-0090,Johor,Batu Pahat,1.618118,103.981111,5G,Poor,27/12/2025,No Connectivity,5G,Resolved,25/11/2025,1636,3,0
CMP-00250,AREA-0003,Penang,George Town,5.424558,100.2668,Fiber,Good,4/1/2026,Call Drop,4G,Resolved,22/12/2025,2999,3,0
CMP-00251,AREA-0021,Pahang,Temerloh,3.12284,103.159141,4G,Good,29/12/2025,Service Outage,5G,Submitted,12/10/2025,3152,2,0
CMP-00252,AREA-0021,Pahang,Temerloh,3.098965,102.51856,4G,Good,29/12/2025,Slow Speed,5G,Resolved,21/11/2025,698,3,0
CMP-00253,AREA-0003,Penang,George Town,5.315369,100.393118,Fiber,Good,4/1/2026,Service Outage,Fiber,In Progress,27/11/2025,2160,2,1
CMP-00254,AREA-0021,Pahang,Temerloh,3.260304,103.980572,4G,Good,29/12/2025,Service Outage,4G,In Progress,6/12/2025,1,1,0
CMP-00255,AREA-0007,Sabah,Kota Kinabalu,5.560125,116.853601,4G,Good,17/12/2025,Poor Coverage,5G,Submitted,25/9/2025,641,2,0
CMP-00256,AREA-0045,Perak,Taiping,4.737136,100.575047,Fiber,Moderate,11/1/2026,Poor Coverage,4G,Submitted,8/10/2025,2267,2,0
CMP-00257,AREA-0023,Selangor,Hulu Langat,3.212651,101.869357,4G,Good,26/12/2025,Poor Coverage,4G,Resolved,27/11/2025,1589,3,0
CMP-00258,AREA-0001,Penang,Seberang Perai,5.410568,100.244967,4G,Good,2/1/2026,No Connectivity,5G,Submitted,5/12/2025,854,3,0
CMP-00259,AREA-0004,Johor,Johor Bahru,1.92894,102.593481,Fiber,Moderate,12/1/2026,Call Drop,Fiber,Resolved,19/11/2025,1759,0,1
CMP-00260,AREA-0030,Selangor,Gombak,3.023397,101.645082,4G,Moderate,28/12/2025,Service Outage,5G,Resolved,8/10/2025,3296,0,0
CMP-00261,AREA-0090,Johor,Batu Pahat,2.24086,102.157993,5G,Poor,27/12/2025,Slow Speed,4G,Submitted,24/11/2025,2432,1,1
CMP-00262,AREA-0090,Johor,Batu Pahat,1.417805,102.865324,5G,Poor,27/12/2025,No Connectivity,5G,Resolved,3/9/2025,3474,0,0
CMP-00263,AREA-0014,Johor,Kulai,2.467895,103.67861,4G,Good,11/1/2026,Service Outage,Fiber,In Progress,11/9/2025,1661,2,0
CMP-00264,AREA-0003,Penang,George Town,5.298334,100.353387,Fiber,Good,4/1/2026,No Connectivity,Fiber,Submitted,3/10/2025,1153,3,0
CMP-00265,AREA-0003,Penang,George Town,5.217755,100.372111,Fiber,Good,4/1/2026,No Connectivity,5G,Submitted,22/10/2025,1076,0,0
CMP-00266,AREA-0039,Selangor,Petaling,3.136043,101.510157,5G,Moderate,3/1/2026,Poor Coverage,Fiber,Resolved,20/11/2025,1707,0,1
CMP-00267,AREA-0022,Sabah,Sandakan,5.590984,116.549037,4G,Good,5/1/2026,Service Outage,4G,Submitted,2/9/2025,2777,1,1
CMP-00268,AREA-0002,Sarawak,Miri,3.065406,111.051183,5G,Moderate,31/12/2025,Slow Speed,5G,Submitted,7/10/2025,1695,5,0
CMP-00269,AREA-0001,Penang,Seberang Perai,5.218911,100.435838,4G,Good,2/1/2026,Call Drop,5G,Submitted,23/9/2025,1733,1,0
CMP-00270,AREA-0022,Sabah,Sandakan,5.047133,116.724433,4G,Good,5/1/2026,Slow Speed,4G,Submitted,8/11/2025,1439,2,0
CMP-00271,AREA-0007,Sabah,Kota Kinabalu,5.616,116.217415,4G,Good,17/12/2025,Poor Coverage,4G,Submitted,3/10/2025,2294,3,1
CMP-00272,AREA-0045,Perak,Taiping,4.116736,101.454495,Fiber,Moderate,11/1/2026,No Connectivity,Fiber,In Progress,30/12/2025,835,1,0
CMP-00273,AREA-0003,Penang,George Town,5.486516,100.326456,Fiber,Good,4/1/2026,Slow Speed,4G,In Progress,25/10/2025,3510,0,0
CMP-00274,AREA-0013,Pahang,Kuantan,3.481158,103.845917,5G,Poor,22/12/2025,Service Outage,5G,Resolved,24/9/2025,202,3,0
CMP-00275,AREA-0003,Penang,George Town,5.392075,100.267388,Fiber,Good,4/1/2026,Poor Coverage,4G,Submitted,1/9/2025,3255,3,0
CMP-00276,AREA-0000,Kedah,Sungai Petani,5.595596,100.348101,4G,Moderate,17/12/2025,Call Drop,4G,Submitted,5/12/2025,122,0,0
CMP-00277,AREA-0001,Penang,Seberang Perai,5.479151,100.328549,4G,Good,2/1/2026,No Connectivity,4G,Submitted,19/10/2025,400,1,0
CMP-00278,AREA-0007,Sabah,Kota Kinabalu,4.224825,116.465777,4G,Good,17/12/2025,Poor Coverage,Fiber,In Progress,11/12/2025,766,0,1
CMP-00279,AREA-0012,Sarawak,Kuching,4.30415,110.618572,4G,Good,5/1/2026,Slow Speed,Fiber,Resolved,2/11/2025,293,5,0
CMP-00280,AREA-0001,Penang,Seberang Perai,5.417757,100.232738,4G,Good,2/1/2026,Call Drop,Fiber,In Progress,19/10/2025,2327,3,0
CMP-00281,AREA-0022,Sabah,Sandakan,4.723551,116.518796,4G,Good,5/1/2026,Slow Speed,4G,Submitted,18/10/2025,2931,4,1
CMP-00282,AREA-0041,Perak,Ipoh,4.396764,101.081555,5G,Moderate,20/12/2025,Slow Speed,Fiber,In Progress,31/10/2025,197,4,0
CMP-00283,AREA-0021,Pahang,Temerloh,3.930433,103.470627,4G,Good,29/12/2025,Slow Speed,5G,Resolved,16/10/2025,3029,2,1
CMP-00284,AREA-0002,Sarawak,Miri,4.54098,112.93141,5G,Moderate,31/12/2025,No Connectivity,4G,Resolved,23/9/2025,1930,0,0
CMP-00285,AREA-0005,Kedah,Alor Setar,5.904518,100.458855,5G,Poor,3/1/2026,No Connectivity,Fiber,Resolved,1/11/2025,3582,0,0
CMP-00286,AREA-0002,Sarawak,Miri,4.781566,111.909779,5G,Moderate,31/12/2025,Slow Speed,Fiber,In Progress,27/11/2025,2799,2,1
CMP-00287,AREA-0045,Perak,Taiping,4.443283,100.631506,Fiber,Moderate,11/1/2026,Poor Coverage,Fiber,Submitted,21/12/2025,2191,2,0
CMP-00288,AREA-0001,Penang,Seberang Perai,5.486153,100.245466,4G,Good,2/1/2026,Slow Speed,4G,In Progress,13/10/2025,608,2,0
CMP-00289,AREA-0004,Johor,Johor Bahru,2.102637,103.378612,Fiber,Moderate,12/1/2026,Service Outage,Fiber,Submitted,8/12/2025,3272,3,0
CMP-00290,AREA-0001,Penang,Seberang Perai,5.230584,100.437556,4G,Good,2/1/2026,Poor Coverage,5G,In Progress,31/10/2025,1147,5,0
CMP-00291,AREA-0039,Selangor,Petaling,3.099432,101.663758,5G,Moderate,3/1/2026,Slow Speed,5G,Submitted,15/10/2025,186,0,0
CMP-00292,AREA-0013,Pahang,Kuantan,3.609986,103.255799,5G,Poor,22/12/2025,Service Outage,4G,In Progress,17/11/2025,3397,3,0
CMP-00293,AREA-0003,Penang,George Town,5.452727,100.490092,Fiber,Good,4/1/2026,Poor Coverage,4G,Resolved,5/9/2025,2511,2,1
CMP-00294,AREA-0045,Perak,Taiping,4.628937,100.630793,Fiber,Moderate,11/1/2026,No Connectivity,5G,Submitted,28/12/2025,3420,0,0
CMP-00295,AREA-0007,Sabah,Kota Kinabalu,4.438872,116.106855,4G,Good,17/12/2025,No Connectivity,4G,Submitted,20/11/2025,1794,3,0
CMP-00296,AREA-0001,Penang,Seberang Perai,5.367154,100.274421,4G,Good,2/1/2026,No Connectivity,Fiber,In Progress,16/12/2025,659,5,0
CMP-00297,AREA-0030,Selangor,Gombak,2.912277,101.655295,4G,Moderate,28/12/2025,Service Outage,4G,Submitted,1/11/2025,2811,3,0
CMP-00298,AREA-0022,Sabah,Sandakan,5.971609,115.948186,4G,Good,5/1/2026,No Connectivity,4G,Resolved,23/10/2025,3002,5,0
CMP-00299,AREA-0001,Penang,Seberang Perai,5.473777,100.480588,4G,Good,2/1/2026,Service Outage,4G,Resolved,15/10/2025,1955,2,1
CMP-00300,AREA-0022,Sabah,Sandakan,5.004438,115.628936,4G,Good,5/1/2026,Service Outage,Fiber,In Progress,24/10/2025,2450,5,0
CMP-00301,AREA-0000,Kedah,Sungai Petani,6.335545,100.451626,4G,Moderate,17/12/2025,Call Drop,4G,Submitted,18/11/2025,1369,0,0
CMP-00302,AREA-0021,Pahang,Temerloh,3.208426,102.743006,4G,Good,29/12/2025,Poor Coverage,Fiber,Resolved,2/12/2025,1986,2,0
CMP-00303,AREA-0030,Selangor,Gombak,2.896597,101.82581,4G,Moderate,28/12/2025,Call Drop,Fiber,Resolved,20/12/2025,1534,0,0
CMP-00304,AREA-0041,Perak,Ipoh,4.917674,101.115297,5G,Moderate,20/12/2025,Slow Speed,Fiber,Submitted,11/11/2025,146,4,0
CMP-00305,AREA-0039,Selangor,Petaling,3.101612,101.483441,5G,Moderate,3/1/2026,Poor Coverage,Fiber,In Progress,16/10/2025,3219,1,0
CMP-00306,AREA-0023,Selangor,Hulu Langat,2.875545,101.806349,4G,Good,26/12/2025,Service Outage,4G,In Progress,26/10/2025,2911,5,1
CMP-00307,AREA-0041,Perak,Ipoh,4.855092,100.946717,5G,Moderate,20/12/2025,Slow Speed,5G,Resolved,5/9/2025,1734,1,0
CMP-00308,AREA-0030,Selangor,Gombak,2.916598,101.657855,4G,Moderate,28/12/2025,Slow Speed,Fiber,Resolved,6/9/2025,1843,1,0
CMP-00309,AREA-0003,Penang,George Town,5.26271,100.229524,Fiber,Good,4/1/2026,Slow Speed,Fiber,In Progress,18/12/2025,488,5,0
CMP-00310,AREA-0090,Johor,Batu Pahat,1.652548,102.43514,5G,Poor,27/12/2025,No Connectivity,5G,In Progress,5/9/2025,2976,2,0
CMP-00311,AREA-0030,Selangor,Gombak,3.025045,101.650556,4G,Moderate,28/12/2025,No Connectivity,5G,Submitted,9/11/2025,1959,4,0
CMP-00312,AREA-0013,Pahang,Kuantan,3.678626,102.774478,5G,Poor,22/12/2025,No Connectivity,Fiber,In Progress,26/10/2025,1663,0,0
CMP-00313,AREA-0000,Kedah,Sungai Petani,5.610172,100.452576,4G,Moderate,17/12/2025,No Connectivity,Fiber,Submitted,14/12/2025,2598,3,0
CMP-00314,AREA-0045,Perak,Taiping,4.14955,100.815588,Fiber,Moderate,11/1/2026,No Connectivity,5G,In Progress,12/12/2025,2385,0,0
CMP-00315,AREA-0039,Selangor,Petaling,3.072802,101.851959,5G,Moderate,3/1/2026,Poor Coverage,5G,Resolved,16/9/2025,2919,3,0
CMP-00316,AREA-0014,Johor,Kulai,2.043891,102.119868,4G,Good,11/1/2026,Slow Speed,Fiber,In Progress,11/12/2025,640,0,0
CMP-00317,AREA-0022,Sabah,Sandakan,4.892966,115.763741,4G,Good,5/1/2026,Slow Speed,Fiber,Resolved,3/11/2025,1802,5,1
CMP-00318,AREA-0007,Sabah,Kota Kinabalu,4.113825,116.548231,4G,Good,17/12/2025,Slow Speed,5G,Submitted,5/9/2025,2520,4,1
CMP-00319,AREA-0021,Pahang,Temerloh,3.643126,103.879117,4G,Good,29/12/2025,Slow Speed,5G,Submitted,29/10/2025,1969,3,0
CMP-00320,AREA-0002,Sarawak,Miri,4.750417,111.847685,5G,Moderate,31/12/2025,Call Drop,Fiber,In Progress,20/11/2025,2198,2,1
CMP-00321,AREA-0021,Pahang,Temerloh,3.72413,103.363351,4G,Good,29/12/2025,Poor Coverage,5G,Resolved,23/10/2025,1438,0,0
CMP-00322,AREA-0023,Selangor,Hulu Langat,3.036101,101.750806,4G,Good,26/12/2025,Service Outage,Fiber,Resolved,2/9/2025,3369,0,0
CMP-00323,AREA-0007,Sabah,Kota Kinabalu,5.238523,115.920268,4G,Good,17/12/2025,Service Outage,Fiber,Resolved,4/9/2025,1634,3,0
CMP-00324,AREA-0002,Sarawak,Miri,1.904274,111.536372,5G,Moderate,31/12/2025,Call Drop,5G,In Progress,6/12/2025,262,2,0
CMP-00325,AREA-0000,Kedah,Sungai Petani,6.464543,100.457586,4G,Moderate,17/12/2025,Slow Speed,5G,Resolved,22/9/2025,1787,2,0
CMP-00326,AREA-0030,Selangor,Gombak,2.875686,101.466649,4G,Moderate,28/12/2025,Poor Coverage,Fiber,In Progress,4/10/2025,2191,5,1
CMP-00327,AREA-0012,Sarawak,Kuching,4.487382,113.548958,4G,Good,5/1/2026,No Connectivity,4G,Submitted,23/11/2025,2393,5,0
CMP-00328,AREA-0000,Kedah,Sungai Petani,5.129221,100.425856,4G,Moderate,17/12/2025,Poor Coverage,Fiber,Submitted,3/11/2025,623,5,0
CMP-00329,AREA-0005,Kedah,Alor Setar,5.590365,100.445105,5G,Poor,3/1/2026,Poor Coverage,Fiber,In Progress,5/12/2025,1016,5,0
CMP-00330,AREA-0002,Sarawak,Miri,2.834334,112.156444,5G,Moderate,31/12/2025,Service Outage,4G,Resolved,4/10/2025,880,5,1
CMP-00331,AREA-0023,Selangor,Hulu Langat,3.267073,101.477673,4G,Good,26/12/2025,Call Drop,5G,Resolved,14/10/2025,2049,5,0
CMP-00332,AREA-0090,Johor,Batu Pahat,1.818457,102.405994,5G,Poor,27/12/2025,Slow Speed,5G,In Progress,15/10/2025,2944,4,0
CMP-00333,AREA-0014,Johor,Kulai,2.108366,103.325201,4G,Good,11/1/2026,No Connectivity,4G,Submitted,30/10/2025,1327,2,0
CMP-00334,AREA-0002,Sarawak,Miri,3.274183,112.841625,5G,Moderate,31/12/2025,No Connectivity,Fiber,Submitted,10/9/2025,2301,5,0
CMP-00335,AREA-0045,Perak,Taiping,4.968725,100.54806,Fiber,Moderate,11/1/2026,Poor Coverage,5G,In Progress,16/12/2025,452,2,1
CMP-00336,AREA-0003,Penang,George Town,5.370846,100.323116,Fiber,Good,4/1/2026,Call Drop,Fiber,Submitted,21/9/2025,3108,2,1
CMP-00337,AREA-0039,Selangor,Petaling,2.849051,101.664253,5G,Moderate,3/1/2026,Call Drop,Fiber,Resolved,7/9/2025,1183,1,0
CMP-00338,AREA-0021,Pahang,Temerloh,3.255119,103.804464,4G,Good,29/12/2025,Poor Coverage,5G,Submitted,1/9/2025,3062,4,1
CMP-00339,AREA-0007,Sabah,Kota Kinabalu,5.392235,115.756065,4G,Good,17/12/2025,Service Outage,5G,Submitted,10/10/2025,2056,5,0
CMP-00340,AREA-0012,Sarawak,Kuching,2.446951,112.462696,4G,Good,5/1/2026,Service Outage,5G,Resolved,28/11/2025,3304,0,1
CMP-00341,AREA-0003,Penang,George Town,5.248963,100.220842,Fiber,Good,4/1/2026,No Connectivity,Fiber,Resolved,29/12/2025,3170,3,0
CMP-00342,AREA-0021,Pahang,Temerloh,3.062947,103.731358,4G,Good,29/12/2025,Call Drop,Fiber,In Progress,12/12/2025,1682,0,0
CMP-00343,AREA-0014,Johor,Kulai,2.471194,103.982503,4G,Good,11/1/2026,No Connectivity,4G,Submitted,12/10/2025,2863,4,0
CMP-00344,AREA-0045,Perak,Taiping,4.666698,101.054712,Fiber,Moderate,11/1/2026,Poor Coverage,Fiber,Resolved,25/10/2025,2255,3,0
CMP-00345,AREA-0013,Pahang,Kuantan,3.08702,102.797624,5G,Poor,22/12/2025,Slow Speed,Fiber,Submitted,8/11/2025,1154,4,0
CMP-00346,AREA-0001,Penang,Seberang Perai,5.25619,100.490426,4G,Good,2/1/2026,Poor Coverage,Fiber,In Progress,10/11/2025,403,2,0
CMP-00347,AREA-0005,Kedah,Alor Setar,5.09695,100.373694,5G,Poor,3/1/2026,Slow Speed,Fiber,Submitted,18/9/2025,2199,3,0
CMP-00348,AREA-0030,Selangor,Gombak,2.915355,101.680609,4G,Moderate,28/12/2025,No Connectivity,5G,In Progress,13/9/2025,2101,2,0
CMP-00349,AREA-0039,Selangor,Petaling,3.09591,101.594187,5G,Moderate,3/1/2026,No Connectivity,5G,Resolved,26/11/2025,3191,0,0
CMP-00350,AREA-0002,Sarawak,Miri,4.973297,113.361695,5G,Moderate,31/12/2025,Service Outage,Fiber,In Progress,27/12/2025,1696,0,0
CMP-00351,AREA-0023,Selangor,Hulu Langat,3.114452,101.665092,4G,Good,26/12/2025,Slow Speed,Fiber,In Progress,8/10/2025,627,3,1
CMP-00352,AREA-0003,Penang,George Town,5.219471,100.404778,Fiber,Good,4/1/2026,Slow Speed,4G,Submitted,17/10/2025,586,3,0
